id;designation;adresse;secteur
1;Iceland Krona matrix Sao Tome and Principe;Avon;Wooden
2;Consultant;payment Tuna;Generic monitoring Shirt
3;Soft B2C Somoni;Chicken real-time;Plastic
4;Networked encompassing;Baby innovate Shirt;synthesize Principal
5;Personal Loan Account Credit Card Account;Planner Small Wooden Keyboard Operations;Dalasi
6;SDD navigate AGP;Generic 1080p Auto Loan Account;payment Music Parks
7;frictionless Handcrafted Concrete Tuna;Tugrik Fantastic solid state;Designer protocol 3rd generation
8;Savings Account;Intelligent back-end;Manager New Israeli Sheqel Heights
9;Fantastic Soft Gloves cutting-edge;fuchsia;invoice Sausages
10;calculating;USB Steel;Alabama Maine
